                                    repo,                                   commit, notebooks, language, version
                          bpgpharma/json, 808d6914b4e9e7b26b5c33ed224d940e515270bb,         1,    python,   3.6.2
          trisaurabh/Tutorial_decorators, ff4e3d860d4e029d9dd585346f172d7000826ba0,         1,    python,   3.6.1
               vaibagga/chess-prediction, 4a542e298996495471e3ed49821fc829587d1e1c,         1,    python,   3.6.3
        arnarejo/datacamp-exploring-lego, be933febce972d911891518d38d42fdd94ed1880,         1,    python,   3.5.2
                         JakubDvo/Python, d47514821b0a0e284cf1755d110ff13374756db3,         1,    python,  2.7.13
           buntyke/ReinforcementLearning, 1d3ef8b2f7344dd46209c3d70b3858bd7e508f00,         1,    python,   2.7.6
                 manioftony/web-scraping, ba6907fb7d6c8879bf7277120c09bc209cc5247c,         1,    python,  2.7.12
                drwofle21/Data-Wrangling, e2172e7e75468a9da470873a0059e60c77704fdd,         2,    python,  2.7.11
               LiuHaixu1997/regression_1, 67f8c352cdb76a680a2847eeb052753375c5e94e,         1,    python,   3.6.3
             PraveshGill/Online-Compiler, 145898c42e17072dc550ac5c9c9b34e5e8a5b78b,         1,    python,   3.6.4
                 abpoll/Boston-Buildings, 87a7c3f2b8e285cdc55c6d6fc38b42e619d4a85a,         1,    python,   3.6.3
                    ahsan2github/titanic, 2ca32a5fc8409227edc655ad4b18fadad1b03f98,         1,    python,   3.5.2
           yepterence/MalignancyLearning, 193271b29f0ccef0debe9db8d18fc8429f15f983,         1,    python,  2.7.12
                            kamaing/test, c857cd68e5564acbcf45f3a910c660ba5d183a3d,         1,    python,   3.6.3
Rodolfoarv/Cracking-the-Coding-Interview, 41938b4a2aacfa3395a0edd89aaa102f8fab709c,         8,    python,   3.6.4
                   Gianno91/ML_Artefacts, b8fa94881496776c69e5894104c7f38a7dd261d2,         1,    python,   3.5.2
                  yoonkanglow/regression, 649e0de6120b989320599e4382093b9769bf6f56,         1,    python,   3.6.1
            tnpestana/mlcourse-exercises, 276bd4a1df1327152b9f3308085d57d778445868,         1,    python,   3.6.2
                     atombear/saulcopter, 539fcb0f6afdfb3ba0096d186377492c6ad7185d,         1,    python,   2.7.6
              andymcarter/CreditAnalysis, e0f0ca2de66a0891a55a92dbe92af736e274cde0,         1,    python,   3.6.0
   andyschneider85/nyu_python_homework_4, d1f3104d1d6eb7af095f910ab2e17faaa21c94fd,         1,    python,   3.5.2
          dphelps/CMU_Security_Analytics, 6761d5c8d3de60a74fc8a861e209ae3e6d194a73,         1,    python,   3.4.3
paul-shannon/jupyter-widget-demo-all-in-notebook, 025efd8c74707a2afe9e264cfef4dd86f668fd0f,         1,    python,   3.5.2
            tatebe/FastSLAM_Tatebe_Motoi, 089ba599573ae459d645812923ef8e051c69c040,         1,    python,   3.6.1
                  SohyunJeon/ML_practice, 2ace2ee24827bc936413c84039c9416d8c5e525c,         2,    python, 3.6.2rc1
                         mkuiper/HashNet, dc21acbf8c37990fa4ad8c23fcb4d328b6781a7d,         1,    python,   3.5.2
                  GERUlab/python-recipes, 63e3743e8069bc30fe86f3d55a8363e7397694e7,         2,    python, 2.7.11;3.6.4
           manoj652/zuckerberg-testimony, 807916eff2d9dfe4ed361fec91f5840c4553ce88,         1,    python,   3.6.3
            soumyasanyal/machinelearning, 4feda3c82ef6683e69293b9eb7e2be5a5ebc034b,         8,    python, 3.5.2;3.5.4;3.6.5
Puayny/genetic-algorithm-optimize-weights, 054bbce53fce73444831ea31569efb2579b0809d,         1,    python,   3.6.3
